15000
0.149 0.149 0.149
0.0718531 0.138894 0.0544766 0.0116982
0.026055 0.110183 0.0523384 0.0115992
0.06658 0.0597348 0.130119 0.0115026
0.0106218 0.0572445 0.077491 0.0114249
0.0725267 0.080196 0.0502353 0.011358
0.123203 0.139814 0.084754 0.0112922
0.102796 0.0172271 0.139304 0.0112276
0.0102925 0.108173 0.09492 0.0111641
0.101494 0.0107232 0.101627 0.0111016
0.139236 0.08027 0.083859 0.0110401
0.0481154 0.139611 0.113223 0.0109797
0.139756 0.0148091 0.0312605 0.0109203
0.140089 0.128712 0.076952 0.0108618
0.0257347 0.140296 0.0108189 0.0108042
0.0169433 0.140117 0.0372355 0.0107475
0.075999 0.0610614 0.0382075 0.0106918
0.035076 0.115857 0.094792 0.0106369
0.108442 0.022373 0.0097654 0.0105828
0.137605 0.0581516 0.0383507 0.0105295
0.042064 0.085296 0.088167 0.010477
0.0730386 0.0581226 0.0096581 0.0104254
0.112508 0.031078 0.124121 0.0103744
0.133233 0.14052 0.122769 0.0103242
0.105951 0.0704354 0.094828 0.0102748
0.0205312 0.107583 0.113142 0.010226
0.140719 0.0088742 0.093807 0.0101779
0.112033 0.0444294 0.140272 0.0101305
0.088407 0.0267563 0.0093104 0.0100838
0.14056 0.0351756 0.0346617 0.0100376
0.0091914 0.087331 0.096758 0.00999215
0.0703616 0.0613113 0.0594093 0.0099473
0.0185376 0.0312954 0.131494 0.009903
0.0247448 0.094394 0.083402 0.00985935
0.0092859 0.0665899 0.125502 0.00981625
0.081073 0.133416 0.140761 0.0097737
0.03645 0.090846 0.0296406 0.00973165
0.0085885 0.0438817 0.141235 0.0096902
0.0091222 0.0474165 0.0215611 0.00964925
0.075688 0.0108282 0.0205323 0.00960885
0.0569806 0.08146 0.0368004 0.0095689
0.0113728 0.0470468 0.122907 0.0095295
0.13209 0.0633403 0.0116602 0.00949055
0.020391 0.091453 0.039231 0.0094521
0.0088527 0.106132 0.0748696 0.00941405
0.0314737 0.133943 0.123219 0.0093765
0.119916 0.0084084 0.0163396 0.0093394
0.141584 0.087145 0.0084904 0.00930275
0.0141104 0.0214462 0.0079774 0.0092665
0.138402 0.0120812 0.125547 0.0092307
0.075988 0.076867 0.0085956 0.00919525
0.141762 0.0248797 0.103771 0.00916025
0.122706 0.008115 0.0384325 0.00912565
0.0379527 0.0082273 0.098814 0.00909145
0.112159 0.12907 0.133688 0.0090576
0.0529004 0.076785 0.0539247 0.00902415
0.0366049 0.0340435 0.0099388 0.00899105
0.114521 0.141495 0.121337 0.0089583
0.0559107 0.0480962 0.141902 0.00892595
0.0416889 0.084213 0.0652034 0.0088939
0.051992 0.0621613 0.112681 0.00886225
0.136894 0.0703703 0.0532828 0.0088309
0.0362794 0.141723 0.138732 0.00879985
0.0510229 0.0112671 0.110588 0.00876915
0.0650195 0.141902 0.140286 0.0087388
0.0147624 0.064209 0.0418671 0.00870875
0.079792 0.0675759 0.142244 0.008679
0.0499862 0.0679964 0.142207 0.0086495
0.141725 0.14057 0.103169 0.00862035
0.069151 0.0067756 0.0731821 0.0085915
0.0354337 0.10811 0.077647 0.00856295
0.128428 0.089333 0.142547 0.00853465
0.0078795 0.0458184 0.10587 0.00850665
0.094419 0.095653 0.112059 0.0084789
0.088519 0.0633355 0.0596445 0.00845145
0.0206777 0.100006 0.137808 0.00842425
0.007587 0.106662 0.0471707 0.0083973
0.0288548 0.13674 0.09792 0.0083706
0.097481 0.126697 0.142046 0.0083442
0.142513 0.076978 0.142494 0.008318
0.126844 0.0199559 0.1424 0.00829205
0.065839 0.10497 0.08656 0.00826635
0.0711457 0.088576 0.0304647 0.0082409
0.105962 0.085766 0.10347 0.00821565
0.0495586 0.0577476 0.0072633 0.0081907
0.068204 0.1422 0.122186 0.0081659
0.088391 0.0258918 0.027502 0.00814135
0.0374591 0.08329 0.048631 0.00811705
0.0570346 0.142119 0.0082901 0.00809295
0.1345 0.081379 0.129758 0.00806905
0.0075978 0.137929 0.0132865 0.00804535
0.0282552 0.0075761 0.0227828 0.0080219
0.105755 0.0144562 0.120804 0.0079986
0.0732829 0.0352598 0.0454505 0.00797555
0.142634 0.130321 0.0074329 0.00795265
0.0244876 0.095666 0.100799 0.00793
0.0203586 0.07638 0.089804 0.0079075
0.0520518 0.0737242 0.078933 0.0078852
0.097755 0.143323 0.0068669 0.0078631
0.0480384 0.09784 0.071098 0.0078412
0.142757 0.09229 0.070072 0.00781945
0.107193 0.07999 0.073738 0.0077979
0.142794 0.0530591 0.0196369 0.0077765
0.104249 0.085118 0.11894 0.0077553
0.11917 0.0656039 0.0432481 0.00773425
0.101282 0.11385 0.126691 0.0077134
0.136618 0.0068428 0.0150354 0.0076927
0.076827 0.143006 0.0365949 0.00767215
0.09185 0.0542224 0.142448 0.0076518
0.0431597 0.13215 0.0068426 0.0076316
0.0214323 0.090116 0.116199 0.0076138
0.0149497 0.124812 0.0479021 0.0075986
0.0494904 0.096311 0.0396167 0.00758345
0.078699 0.100312 0.0072883 0.00756845
0.137182 0.143032 0.0139143 0.0075535
0.0122511 0.0076016 0.142734 0.00753865
0.14277 0.143075 0.087394 0.0075239
0.099107 0.1431 0.096823 0.0075092
0.0603553 0.0278473 0.0488373 0.0074946
0.009848 0.0605281 0.141886 0.0074801
0.124075 0.0338139 0.111311 0.00746565
0.0488304 0.133447 0.130123 0.00745135
0.0243417 0.0601118 0.142567 0.00743705
0.0169805 0.0476425 0.0068453 0.0074229
0.0694439 0.0632702 0.10476 0.0074088
0.130789 0.095652 0.078539 0.00739475
0.0344624 0.14309 0.0325858 0.00738085
0.035594 0.0071355 0.114518 0.007367
0.102531 0.143075 0.111008 0.0073532
0.0106464 0.114668 0.0612551 0.0073395
0.106761 0.129389 0.082347 0.00732585
0.143634 0.0104138 0.110541 0.0073123
0.125509 0.103079 0.136403 0.00729885
0.0425375 0.1242 0.143397 0.00728545
0.143338 0.137617 0.143454 0.0072721
0.0066686 0.0738709 0.084833 0.00725885
0.136224 0.0063463 0.0524811 0.00724565
0.0424618 0.0404986 0.143128 0.00723255
0.091146 0.078902 0.0126969 0.0072195
0.081832 0.143411 0.022744 0.00720655
0.028734 0.125036 0.143806 0.00719365
0.126059 0.130176 0.143273 0.0071808
0.110338 0.143727 0.0725906 0.00716805
0.0699238 0.130616 0.0336776 0.00715535
0.0672479 0.0493005 0.115309 0.0071427
0.071647 0.0746554 0.0241632 0.00713015
0.0059707 0.0605247 0.107545 0.00711765
0.133734 0.116822 0.136834 0.0071052
0.091213 0.109645 0.106414 0.00709285
0.0076339 0.0366014 0.0068814 0.00708055
0.092998 0.143771 0.12873 0.0070683
0.0371987 0.125801 0.110581 0.00705615
0.097073 0.0369355 0.134185 0.007044
0.093307 0.0064343 0.0668502 0.00703195
0.085074 0.117739 0.143292 0.00701995
0.028824 0.0418022 0.0707262 0.00700805
0.0437356 0.059423 0.0657764 0.0069962
0.0197663 0.0514678 0.0624865 0.00698435
0.0117525 0.0509247 0.0493667 0.00697265
0.141108 0.126792 0.128633 0.00696095
0.09358 0.078819 0.143247 0.0069493
0.0378221 0.095044 0.0064228 0.00693775
0.143814 0.081029 0.0229186 0.0069262
0.0294204 0.082678 0.098886 0.00691475
0.114194 0.0436743 0.112622 0.00690335
0.0320159 0.0395365 0.102231 0.006892
0.086861 0.0058126 0.109561 0.00688075
0.0110269 0.082917 0.122862 0.0068695
0.0684664 0.141301 0.0250263 0.0068583
0.143483 0.104194 0.080119 0.0068472
0.0312637 0.143846 0.110779 0.00683615
0.143332 0.143335 0.0536018 0.0068251
0.0686202 0.090539 0.0095973 0.00681415
0.0063101 0.09644 0.143751 0.00680325
0.0334442 0.096834 0.0619451 0.0067924
0.085503 0.104171 0.14382 0.00678155
0.138015 0.0735016 0.0319714 0.0067708
0.0170446 0.0207605 0.14387 0.0067601
0.1003 0.0062464 0.0130053 0.00674945
0.0568861 0.0065138 0.097119 0.00673885
0.143509 0.075133 0.0665238 0.0067283
0.0370063 0.132035 0.0505681 0.0067178
0.143831 0.0267344 0.118619 0.00670735
0.0316395 0.0484674 0.142258 0.00669695
0.0178577 0.126379 0.09526 0.0066866
0.144349 0.085702 0.119773 0.00667625
0.131701 0.0468812 0.0268851 0.006666
0.0062428 0.0529388 0.0366111 0.0066558
0.11512 0.076392 0.0085303 0.0066456
0.0658509 0.105785 0.0716002 0.0066355
0.082506 0.0742439 0.12894 0.0066254
0.011003 0.005998 0.0207406 0.0066154
0.116983 0.0080269 0.144158 0.0066054
0.081009 0.0060078 0.00624 0.00659545
0.143833 0.102829 0.0061932 0.00658555
0.0695894 0.097668 0.051089 0.0065757
0.144548 0.0345043 0.1285 0.0065659
0.0061523 0.0730243 0.1111 0.00655615
0.118855 0.143753 0.136282 0.00654645
0.0203996 0.144005 0.127962 0.00653675
0.097202 0.112351 0.14389 0.0065271
0.023856 0.0115671 0.094105 0.00651755
0.12402 0.0334061 0.137216 0.006508
0.0211565 0.136587 0.139989 0.0064985
0.0175741 0.096469 0.0055079 0.006489
0.0413926 0.059242 0.134397 0.0064796
0.0231376 0.0075215 0.105935 0.0064702
0.070208 0.134037 0.110018 0.00646085
0.0059546 0.0133025 0.097261 0.00645155
0.0062158 0.0342282 0.0660214 0.0064423
0.0166124 0.0061967 0.0059393 0.0064331
0.0388994 0.143905 0.0453963 0.0064239
0.00571 0.095881 0.0372372 0.00641475
0.129356 0.0147484 0.0058997 0.00640565
0.144013 0.144041 0.0310988 0.0063966
