3000
3.e-4 3.e-4 5.4e-4
0.000112139 4.71497e-06 6.19518e-05 1.5598e-05
0.000133478 2.90298e-05 6.75036e-05 9.877e-06
0.000133663 1.82003e-05 4.54547e-05 1.46885e-05
0.000150552 1.66659e-05 7.06747e-05 1.1441e-05
0.000170831 2.51481e-05 5.53613e-05 1.53485e-05
0.000171384 2.5631e-06 6.34747e-05 8.656e-06
0.000213865 7.57569e-06 5.29716e-05 1.00245e-05
0.000202549 3.15199e-05 5.37347e-05 1.647e-05
0.000234594 2.86074e-05 6.38769e-05 1.5462e-05
0.000254886 1.93838e-05 4.04666e-05 8.7825e-06
0.000248183 5.50905e-06 5.94697e-05 1.1631e-05
0.000270226 1.40103e-05 6.73782e-05 1.3283e-05
0.000290256 3.15654e-05 6.42746e-05 1.35315e-05
2.99005e-05 3.96254e-05 5.0317e-05 1.40235e-05
6.64347e-06 4.93035e-05 5.71185e-05 9.6585e-06
2.3419e-05 6.55286e-05 4.19475e-05 1.2499e-05
4.85539e-05 3.33938e-05 6.65332e-05 1.07015e-05
4.93821e-05 6.10813e-05 5.28169e-05 1.5065e-05
3.64841e-05 4.9686e-05 7.12486e-05 1.01155e-05
8.85637e-05 4.76256e-05 4.17242e-05 1.41415e-05
9.83546e-05 5.16754e-05 6.44085e-05 1.0895e-05
7.6374e-05 6.63025e-05 5.66456e-05 1.26925e-05
0.000127246 4.03988e-05 3.87638e-05 9.368e-06
0.000121985 5.33257e-05 5.89596e-05 1.3411e-05
0.000164508 4.83537e-05 3.92774e-05 1.35855e-05
0.000150308 5.863e-05 6.09008e-05 1.425e-05
0.000181912 4.76797e-05 5.48516e-05 9.764e-06
0.000192911 4.85636e-05 7.0266e-05 9.136e-06
0.00020402 6.01518e-05 5.60683e-05 1.22945e-05
0.000219807 4.77728e-05 6.25333e-05 8.782e-06
0.000230621 5.53378e-05 4.99931e-05 9.423e-06
0.00024116 3.88103e-05 3.74249e-05 1.364e-05
0.000260854 4.139e-05 5.69809e-05 1.4234e-05
0.000248371 5.97706e-05 4.59377e-05 9.3165e-06
0.000239764 6.46309e-05 5.64177e-05 5.0895e-06
0.000284401 5.72356e-05 5.02571e-05 1.4933e-05
8.13098e-06 7.97976e-05 5.12845e-05 9.663e-06
3.14199e-05 8.33091e-05 6.11112e-05 1.3798e-05
1.97661e-06 6.82591e-05 3.70788e-05 9.6455e-06
5.91156e-05 8.66376e-05 5.60274e-05 1.2466e-05
8.45539e-05 9.61535e-05 5.6735e-05 1.47025e-05
9.45207e-05 7.31575e-05 4.09525e-05 1.20875e-05
9.46592e-05 7.12427e-05 6.78477e-05 9.313e-06
0.000102397 9.52838e-05 3.58935e-05 1.19375e-05
0.000112924 8.59618e-05 5.95385e-05 1.55725e-05
0.000133418 7.24027e-05 4.27998e-05 1.40805e-05
0.000159361 7.33952e-05 4.0315e-05 1.20005e-05
0.000155567 8.42174e-05 6.11355e-05 1.17695e-05
0.000136082 8.74812e-05 6.97675e-05 9.79e-06
0.000182324 7.59501e-05 4.26561e-05 1.11855e-05
0.000176103 9.32032e-05 5.56733e-05 1.13025e-05
0.000181572 6.77488e-05 6.52063e-05 1.28215e-05
0.000201315 9.62114e-05 5.2126e-05 1.2447e-05
0.000205475 7.64558e-05 3.73506e-05 1.2571e-05
0.000228264 7.87962e-05 5.08084e-05 1.39985e-05
0.000209483 8.02463e-05 6.92635e-05 1.2358e-05
0.000226241 9.49122e-05 6.74407e-05 9.191e-06
0.000249817 9.56951e-05 6.10926e-05 1.5237e-05
0.000256282 7.01527e-05 6.1374e-05 1.08745e-05
0.000268598 8.17356e-05 4.09528e-05 1.5637e-05
0.000289036 8.80094e-05 5.95734e-05 1.27145e-05
2.1578e-05 0.000123122 3.73906e-05 1.50705e-05
1.03921e-05 0.000101853 5.5957e-05 1.2985e-05
2.57175e-05 0.000122939 6.7845e-05 1.56645e-05
3.8532e-05 0.000105754 4.99548e-05 1.22565e-05
4.96311e-05 0.000126806 4.34978e-05 1.2402e-05
